time,value
0,-2.701147371164475
0,-2.701147371164475
0,-1.3190083979629872
0,-1.3190083979629872
0,-1.2377027684439117
0,-0.4748432238826137
0,-0.4748432238826137
0,-0.4748432238826137
0,-0.4748432238826137
0,-0.4748432238826137
0,-0.44794995097050005
0,-0.4151478542665892
0,-0.4151478542665892
0,-0.40796424898148054
0,-0.39969268017990167
0,-0.39969268017990167
0,-0.3979673941874946
0,-0.3979673941874946
0,-0.3979673941874946
0,-0.39794789061048874
1,-12.306600700306907
1,-7.000962631904617
1,-7.000962631904617
1,-1.4723447163038141
1,-1.4723447163038141
1,-0.4508698287733086
1,-0.4508698287733086
1,-0.4508698287733086
1,-0.4508698287733086
1,-0.43892861786227577
1,-0.4078986247536527
1,-0.4078986247536527
1,-0.3997423904511255
1,-0.3997423904511255
1,-0.3997423904511255
1,-0.3997423904511255
1,-0.3997423904511255
1,-0.39804538990486193
1,-0.39804538990486193
1,-0.39804538990486193
2,-6.194178261155734
2,-2.0839594975362843
2,-0.6994987819820402
2,-0.5534848458641566
2,-0.40644179476741726
2,-0.40644179476741726
2,-0.40644179476741726
2,-0.40644179476741726
2,-0.40644179476741726
2,-0.40644179476741726
2,-0.40644179476741726
2,-0.40644179476741726
2,-0.40644179476741726
2,-0.40644179476741726
2,-0.40644179476741726
2,-0.39988540795477867
2,-0.39988540795477867
2,-0.3980517517647808
2,-0.3979805318024958
2,-0.3979805318024958
3,-0.9687131893031058
3,-0.9687131893031058
3,-0.9687131893031058
3,-0.9687131893031058
3,-0.5071139609976569
3,-0.5071139609976569
3,-0.5071139609976569
3,-0.44755779785412564
3,-0.44755779785412564
3,-0.44755779785412564
3,-0.41011692296340563
3,-0.41011692296340563
3,-0.4082091473310072
3,-0.40342389996428274
3,-0.39793460589956453
3,-0.39793460589956453
3,-0.39790460124072347
3,-0.39790460124072347
3,-0.39790460124072347
3,-0.39789298198766865
4,-5.750721314886535
4,-5.750721314886535
4,-5.750721314886535
4,-2.709869948231707
4,-0.5102060411192681
4,-0.5102060411192681
4,-0.49026053341247433
4,-0.49026053341247433
4,-0.46667071895807233
4,-0.46667071895807233
4,-0.42191411689121594
4,-0.42191411689121594
4,-0.42191411689121594
4,-0.40132305902276677
4,-0.40132305902276677
4,-0.40132305902276677
4,-0.40132305902276677
4,-0.40132305902276677
4,-0.3979149605494108
4,-0.3979149605494108
5,-0.8320237086478599
5,-0.8320237086478599
5,-0.8320237086478599
5,-0.8320237086478599
5,-0.5823432889852178
5,-0.5823432889852178
5,-0.450791456383115
5,-0.4315320871217452
5,-0.42212712320816514
5,-0.42212712320816514
5,-0.4128321761922287
5,-0.4128321761922287
5,-0.40176875157576575
5,-0.4013013525429816
5,-0.39867548782087425
5,-0.3980036890133878
5,-0.3980036890133878
5,-0.39796023142850245
5,-0.3979059321995919
5,-0.3979059321995919
6,-2.4890860124289587
6,-2.4890860124289587
6,-0.40118130316697
6,-0.40118130316697
6,-0.40118130316697
6,-0.40118130316697
6,-0.40118130316697
6,-0.40118130316697
6,-0.40118130316697
6,-0.40118130316697
6,-0.40118130316697
6,-0.40118130316697
6,-0.40118130316697
6,-0.3990839202554586
6,-0.3990839202554586
6,-0.3990839202554586
6,-0.3990839202554586
6,-0.3980119109616318
6,-0.3980119109616318
6,-0.3979152611762231
7,-2.1360133848103775
7,-2.1360133848103775
7,-2.1360133848103775
7,-2.1360133848103775
7,-0.8485373988374061
7,-0.8485373988374061
7,-0.6083376179542075
7,-0.6083376179542075
7,-0.5128130424541499
7,-0.5128130424541499
7,-0.5128130424541499
7,-0.39955595034827773
7,-0.3979364235104299
7,-0.3979364235104299
7,-0.3979364235104299
7,-0.3979364235104299
7,-0.3979364235104299
7,-0.3979364235104299
7,-0.3979364235104299
7,-0.3979364235104299
8,-8.249239851047813
8,-8.249239851047813
8,-8.249239851047813
8,-0.9304833333704803
8,-0.509235951276338
8,-0.509235951276338
8,-0.509235951276338
8,-0.509235951276338
8,-0.509235951276338
8,-0.509235951276338
8,-0.41013817012443887
8,-0.41013817012443887
8,-0.41013817012443887
8,-0.4006977376904093
8,-0.39876234170919744
8,-0.39876234170919744
8,-0.39876234170919744
8,-0.39876234170919744
8,-0.3986313077931172
8,-0.3986313077931172
9,-3.330992283432744
9,-3.330992283432744
9,-3.330992283432744
9,-1.8134196388856711
9,-0.8115513560039957
9,-0.5084423052198108
9,-0.4352416788086515
9,-0.4352416788086515
9,-0.4352416788086515
9,-0.4352416788086515
9,-0.4330837941489669
9,-0.40242206959329785
9,-0.40242206959329785
9,-0.40242206959329785
9,-0.40242206959329785
9,-0.40242206959329785
9,-0.40242206959329785
9,-0.39845793621872083
9,-0.39792439565764504
9,-0.39792439565764504
10,-1.2823547157259068
10,-1.2823547157259068
10,-1.2823547157259068
10,-1.2823547157259068
10,-0.4929350221998039
10,-0.4929350221998039
10,-0.4929350221998039
10,-0.4929350221998039
10,-0.41350981110586993
10,-0.41350981110586993
10,-0.40127061189573077
10,-0.40127061189573077
10,-0.40127061189573077
10,-0.40127061189573077
10,-0.39999868354396284
10,-0.39999868354396284
10,-0.3979375381151815
10,-0.3979375381151815
10,-0.39790021826643773
10,-0.39790021826643773
11,-0.6177732789276966
11,-0.6177732789276966
11,-0.6177732789276966
11,-0.497052699889446
11,-0.497052699889446
11,-0.46945280029679104
11,-0.46945280029679104
11,-0.39810230491252874
11,-0.39810230491252874
11,-0.39810230491252874
11,-0.39810230491252874
11,-0.39810230491252874
11,-0.39810230491252874
11,-0.39810230491252874
11,-0.39810230491252874
11,-0.39810230491252874
11,-0.39810230491252874
11,-0.39810230491252874
11,-0.39810230491252874
11,-0.39810230491252874
12,-1.8394294947700978
12,-0.660842350520463
12,-0.660842350520463
12,-0.660842350520463
12,-0.635767908497046
12,-0.43689941210800853
12,-0.43689941210800853
12,-0.4095346252814185
12,-0.4075777847133448
12,-0.4075777847133448
12,-0.40175122798816787
12,-0.3986294074954966
12,-0.3986294074954966
12,-0.39809124660975925
12,-0.39809124660975925
12,-0.39809124660975925
12,-0.39809124660975925
12,-0.3980726143691147
12,-0.3980726143691147
12,-0.39800380345659825
13,-4.172766410988086
13,-4.172766410988086
13,-4.061371624874436
13,-1.1079977118858686
13,-1.1079977118858686
13,-0.7974607273390664
13,-0.43141719401951484
13,-0.43141719401951484
13,-0.43141719401951484
13,-0.43141719401951484
13,-0.43141719401951484
13,-0.39959447816550053
13,-0.39959447816550053
13,-0.39959447816550053
13,-0.39959447816550053
13,-0.39959447816550053
13,-0.39959447816550053
13,-0.3983467703483665
13,-0.3980548863801836
13,-0.3980548863801836
14,-1.3988894456680256
14,-1.3988894456680256
14,-1.3988894456680256
14,-1.3988894456680256
14,-0.5801835330365552
14,-0.4567518869913556
14,-0.4567518869913556
14,-0.4567518869913556
14,-0.4567518869913556
14,-0.4567518869913556
14,-0.4114547290087849
14,-0.4114547290087849
14,-0.4114547290087849
14,-0.4114547290087849
14,-0.40174828549949915
14,-0.3999825251954352
14,-0.3979234026398313
14,-0.3979234026398313
14,-0.39792239304625987
14,-0.39792239304625987
15,-0.6565749563078835
15,-0.6565749563078835
15,-0.6565749563078835
15,-0.6565749563078835
15,-0.6565749563078835
15,-0.5689564709558841
15,-0.5689564709558841
15,-0.43367806642772955
15,-0.43367806642772955
15,-0.39920634049186177
15,-0.39920634049186177
15,-0.39920634049186177
15,-0.39920634049186177
15,-0.39920634049186177
15,-0.3979655549893728
15,-0.3979655549893728
15,-0.3979655549893728
15,-0.3979655549893728
15,-0.3979655549893728
15,-0.39790708962152976
16,-5.003251031304951
16,-5.003251031304951
16,-3.56777828056574
16,-3.56777828056574
16,-0.6185651907035457
16,-0.5564117285473209
16,-0.5564117285473209
16,-0.5283409332257563
16,-0.5283409332257563
16,-0.407782755611624
16,-0.407782755611624
16,-0.40194861350816957
16,-0.40194861350816957
16,-0.3992036639368166
16,-0.3992036639368166
16,-0.39789166984495417
16,-0.39789166984495417
16,-0.39789166984495417
16,-0.39789166984495417
16,-0.39789166984495417
17,-6.090413337221387
17,-2.032491983985617
17,-2.032491983985617
17,-0.4811918466842986
17,-0.4811918466842986
17,-0.4811918466842986
17,-0.4811918466842986
17,-0.45808666268600895
17,-0.45808666268600895
17,-0.45808666268600895
17,-0.45808666268600895
17,-0.398629134684338
17,-0.398629134684338
17,-0.398629134684338
17,-0.398629134684338
17,-0.398629134684338
17,-0.398629134684338
17,-0.3983440412267978
17,-0.39794649268044147
17,-0.39791105769650237
18,-1.1500838643416262
18,-1.1500838643416262
18,-1.1500838643416262
18,-1.1500838643416262
18,-1.1500838643416262
18,-0.7814416429323714
18,-0.7392165844331604
18,-0.7392165844331604
18,-0.7392165844331604
18,-0.40141768652264354
18,-0.3981063664191389
18,-0.3981063664191389
18,-0.3981063664191389
18,-0.3981063664191389
18,-0.3981063664191389
18,-0.3981063664191389
18,-0.3981063664191389
18,-0.3981063664191389
18,-0.3981063664191389
18,-0.3979076958580219
19,-0.8890524220144336
19,-0.8890524220144336
19,-0.8890524220144336
19,-0.4017738261835895
19,-0.4017738261835895
19,-0.4017738261835895
19,-0.4017738261835895
19,-0.4017738261835895
19,-0.4017738261835895
19,-0.4017738261835895
19,-0.4017738261835895
19,-0.39805523213978056
19,-0.39805523213978056
19,-0.3979497566221699
19,-0.3979497566221699
19,-0.3979497566221699
19,-0.3979497566221699
19,-0.3979497566221699
19,-0.3978920424904686
19,-0.3978920424904686
20,-2.111361309492363
20,-2.111361309492363
20,-2.111361309492363
20,-2.111361309492363
20,-2.111361309492363
20,-2.111361309492363
20,-0.6688945769599943
20,-0.6688945769599943
20,-0.5717514531921175
20,-0.5526544397647122
20,-0.5526544397647122
20,-0.3980503216009499
20,-0.3980503216009499
20,-0.3980503216009499
20,-0.3980503216009499
20,-0.3980503216009499
20,-0.3980503216009499
20,-0.3980503216009499
20,-0.3980503216009499
20,-0.3980503216009499
